name,englishName,position,playerType,rotationType,rating,insideRating,midRating,threeRating,freeThrowPercent,interiorDefense,perimeterDefense,orbRating,drbRating,astRating,stlRating,blkRating,layupRating,standDunk,drivingDunk,athleticism,durability,offConst,defConst,drawFoul
扬尼斯·阿德托昆博,Giannis Antetokounmpo,PF,1,1,97,96,59,76,65,90,87,80,90,88,70,62,98,85,91,91,91,98,95,97
小凯文·波特,Kevin Porter Jr.,PG,1,1,82,79,94,76,88,44,69,40,62,80,96,53,85,40,80,75,80,75,55,84
瑞恩·罗林斯,Ryan Rollins,SG,4,1,82,85,79,84,79,43,68,37,60,77,70,52,85,25,65,76,80,80,60,79
凯尔·库兹马,Kyle Kuzma,SF,1,1,80,84,79,78,72,66,75,42,66,67,41,55,75,75,75,79,83,70,70,50
鲍比·波蒂斯,Bobby Portis Jr.,C,4,2,80,96,82,89,71,78,40,56,84,49,40,45,74,75,70,75,84,55,65,74
迈尔斯·特纳,Myles Turner,C,5,1,78,85,88,82,74,87,70,46,69,44,41,87,70,80,65,74,83,40,85,40
乌斯曼·迪昂,Ousmane Dieng,PF,5,2,77,85,77,80,76,67,68,39,62,67,40,56,69,45,75,77,80,65,45,47
A.J·格林,AJ Green,SF,5,2,76,90,84,85,84,40,63,31,47,58,35,32,74,40,40,67,80,75,45,40
托里恩·普林斯,Taurean Prince,PF,5,3,76,73,79,84,83,64,74,28,53,53,42,47,76,75,70,78,81,50,60,55
小加里·特伦特,Gary Trent Jr.,SG,5,2,75,73,95,82,77,50,61,28,37,58,40,30,80,40,75,76,82,65,35,54
杰里科·西姆斯,Jericho Sims,C,1,3,74,90,69,26,64,66,40,82,75,33,32,51,64,80,89,80,80,60,40,40
皮特·南斯,Pete Nance,PF,5,3,74,89,70,85,76,60,48,46,64,44,36,58,70,75,75,72,83,70,40,40
加里·哈里斯,Gary Harris,PG,1,2,73,85,79,87,79,68,80,38,46,62,59,50,78,40,50,75,83,35,80,60
小安德烈·杰克逊,Andre Jackson Jr.,PG,1,3,72,70,68,81,70,53,75,65,53,61,70,40,67,40,87,78,80,40,70,37
科马克·瑞安,Cormac Ryan,SG,5,3,72,74,79,84,88,40,66,40,34,58,53,57,74,35,60,69,80,60,40,62
萨纳西斯·阿德托昆博,Thanasis Antetokounmpo,PF,3,3,69,71,66,66,63,42,59,64,61,55,33,51,80,40,85,74,87,40,40,69
亚历克斯·阿德托昆博,Alex Antetokounmpo,SF,1,3,68,70,67,66,61,57,64,50,54,55,52,52,72,65,80,71,85,30,50,40
