name,englishName,position,playerType,rotationType,rating,insideRating,midRating,threeRating,freeThrowPercent,interiorDefense,perimeterDefense,orbRating,drbRating,astRating,stlRating,blkRating,layupRating,standDunk,drivingDunk,athleticism,durability,offConst,defConst,drawFoul
约什·吉迪,Josh Giddey,PG,4,1,85,87,43,81,77,50,62,45,85,89,41,50,94,45,65,78,80,90,45,89
马塔斯·布泽利斯,Matas Buzelis,PF,4,1,82,88,75,79,78,58,62,46,65,58,40,81,85,65,89,79,80,90,50,59
特雷·琼斯,Tre Jones,PG,3,2,81,85,85,76,85,34,73,37,47,80,70,40,86,25,35,75,81,85,60,86
安芬尼·西蒙斯,Anfernee Simons,SG,4,1,80,97,79,83,88,49,59,36,46,70,40,37,89,40,89,81,80,75,40,69
克林·塞克斯顿,Collin Sexton,SG,1,2,80,91,79,82,87,45,67,35,43,74,56,37,80,30,75,80,81,80,50,50
杰登·艾维,Jaden Ivey,SF,4,1,79,94,92,82,78,59,71,41,50,69,41,62,85,30,85,82,80,65,65,62
贾伦·史密斯,Jalen Smith,C,4,1,78,75,72,80,71,70,48,70,87,35,37,76,69,85,80,73,80,65,45,47
扎克·科林斯,Zach Collins,C,3,2,77,89,79,80,70,68,45,68,82,34,31,58,70,70,65,70,80,50,40,50
伊萨克·奥科罗,Isaac Okoro,SF,4,2,77,56,60,77,76,68,84,48,41,55,38,57,80,45,75,81,82,45,80,54
帕特里克·威廉姆斯,Patrick Williams,PF,1,2,74,53,73,84,68,70,76,42,57,52,49,51,68,60,65,74,81,55,65,45
尼克·理查兹,Nick Richards,C,3,3,74,82,79,25,68,75,47,90,85,34,32,86,62,75,75,74,84,50,70,40
盖尔雄·亚布塞莱,Guerschon Yabusele,PF,5,3,74,63,79,75,74,62,66,58,71,57,43,55,80,50,85,71,84,65,40,45
诺阿·埃森盖,Noa Essengue,PF,1,3,72,71,70,70,70,60,68,55,54,53,60,45,72,50,80,77,80,50,45,76
罗伯特·迪林厄姆,Rob Dillingham,PG,1,3,72,62,45,77,75,34,63,34,46,70,56,25,77,30,75,79,80,50,50,45
河村勇辉,Yuki  Kawamura,PG,5,3,72,69,72,75,86,25,61,36,56,81,55,26,66,25,25,71,80,70,30,44
马克·麦克朗,Mac McClung,SG,1,3,71,78,64,75,64,40,67,29,67,72,52,42,78,35,94,73,82,65,40,39
莱昂纳德·米勒,Leonard Miller,SF,1,3,70,74,70,72,83,57,63,52,71,48,52,57,75,65,85,74,80,50,40,37
拉克兰·奥尔布里奇,Lachlan Olbrich,PF,3,3,68,70,66,61,58,60,37,62,65,61,47,50,67,60,65,65,80,50,50,60
