name,englishName,position,playerType,rotationType,rating,insideRating,midRating,threeRating,freeThrowPercent,interiorDefense,perimeterDefense,orbRating,drbRating,astRating,stlRating,blkRating,layupRating,standDunk,drivingDunk,athleticism,durability,offConst,defConst,drawFoul
多诺万·米切尔,Donovan Mitchell,SG,4,1,93,98,89,88,86,68,75,36,56,80,66,45,97,50,92,88,85,95,75,90
埃文·莫布里,Evan Mobley,PF,1,1,87,88,77,75,63,93,82,65,82,69,40,85,76,85,85,81,88,75,90,70
詹姆斯·哈登,James Harden,PG,4,1,87,88,84,88,88,62,70,34,60,85,46,51,93,35,75,80,82,95,65,94
贾莱特·阿伦,Jarrett Allen,C,2,1,85,97,80,63,71,88,72,72,84,37,49,70,84,90,85,81,80,90,85,80
佩顿·沃森,Peyton Watson,SF,1,1,79,84,90,82,73,78,78,42,62,53,43,74,72,60,65,78,78,80,80,40
萨姆·梅里尔,Sam Merrill,SG,5,2,77,87,69,91,86,42,68,36,46,66,38,37,69,30,45,63,70,80,55,55
杰伦·泰森,Jaylon Tyson,PF,4,2,76,92,65,84,70,50,70,61,59,58,42,53,77,40,75,78,83,70,60,60
马里奥·海佐尼亚,Mario Hezonja,SF,4,2,74,79,74,78,80,45,68,36,63,55,61,51,79,45,75,73,89,50,35,35
托马斯·布莱恩特,Thomas Bryant,C,4,2,74,97,85,79,80,63,40,67,80,37,40,72,69,75,65,72,77,40,45,37
小克雷格·波特,Craig Porter Jr.,PG,1,2,72,71,75,79,56,44,73,64,55,73,83,71,77,30,50,76,84,65,65,60
奈夸恩·汤姆林,Nae’Qwan Tomlin,PF,4,3,71,75,72,64,75,64,70,67,50,56,56,75,77,60,80,75,86,65,60,55
泰里斯·普罗克特,Tyrese Proctor,PG,5,3,71,70,79,79,89,42,60,34,51,70,48,27,76,35,65,76,80,70,45,37
梅利克·托马斯,Meleek Thomas,SG,5,3,70,69,78,82,84,39,64,32,47,66,64,31,70,25,60,73,80,50,45,39
小埃内斯特·乌德,Ernest Udeh Jr.,C,2,3,68,67,44,26,51,74,60,71,72,29,25,70,70,85,75,75,83,25,60,40
莱利·米尼克斯,Riley Minix,PF,5,3,68,69,71,76,83,55,59,60,62,46,62,47,62,45,60,68,83,40,50,40
特里斯坦·伊纳鲁纳,Tristan Enaruna,SF,5,3,68,70,72,72,75,30,70,52,54,59,57,47,70,25,80,76,84,35,65,39
