name,englishName,position,playerType,rotationType,rating,insideRating,midRating,threeRating,freeThrowPercent,interiorDefense,perimeterDefense,orbRating,drbRating,astRating,stlRating,blkRating,layupRating,standDunk,drivingDunk,athleticism,durability,offConst,defConst,drawFoul
杰伦·布朗,Jaylen Brown,SF,1,1,95,95,88,80,78,70,89,42,73,78,46,52,96,40,94,85,82,98,85,85
杰森·塔图姆,Jayson Tatum,PF,4,1,94,90,85,85,81,81,87,35,85,78,43,52,96,50,89,86,80,98,85,88
德里克·怀特,Derrick White,SG,5,1,85,80,92,76,90,58,91,42,51,80,53,82,87,40,55,80,81,70,95,70
佩顿·普理查德,Payton Pritchard,PG,5,1,83,98,92,83,87,36,60,39,52,79,40,32,85,25,35,69,81,90,35,57
尼古拉·武切维奇,Nikola Vucevic,C,1,1,82,97,90,82,83,68,41,63,85,73,37,60,70,75,65,66,77,80,45,50
尼米亚斯·奎塔,Neemias Queta,C,2,2,80,98,69,50,69,76,45,88,82,50,53,86,75,75,70,72,80,75,65,50
卢卡·加尔扎,Luka Garza,C,1,3,78,97,74,84,76,54,30,92,56,48,38,72,74,60,45,60,80,85,30,59
萨姆·豪瑟,Sam Hauser,SF,5,2,77,82,76,86,89,48,55,41,60,48,38,51,60,40,60,70,80,75,45,55
乔丹·沃尔什,Jordan Walsh,PF,4,2,77,75,67,86,76,78,82,66,67,52,66,65,68,40,80,81,80,60,80,52
贝勒·谢尔曼,Baylor Scheierman,PG,5,2,76,89,89,83,85,47,56,45,67,59,53,40,76,40,55,72,80,80,40,44
雨果·冈萨雷斯,Hugo Gonzalez,SG,4,2,74,97,76,76,48,53,73,56,69,51,59,56,74,45,75,76,80,65,65,40
小罗恩·哈珀,Ron Harper Jr.,SF,5,3,71,70,72,76,79,42,60,68,49,53,43,47,72,40,70,68,80,60,55,57
阿马里·威廉姆斯,Amari Williams,PF,2,3,69,67,60,55,62,70,60,60,60,63,47,68,67,75,80,74,80,40,55,54
约翰·汤杰,John Tonje,SG,5,3,69,80,80,81,87,50,62,43,54,51,42,40,78,35,70,73,80,40,50,44
马克斯·舒尔加,Max Shulga,PG,5,3,68,74,77,80,78,42,60,41,47,68,75,28,74,30,45,67,80,50,50,55
