name,englishName,position,playerType,rotationType,rating,insideRating,midRating,threeRating,freeThrowPercent,interiorDefense,perimeterDefense,orbRating,drbRating,astRating,stlRating,blkRating,layupRating,standDunk,drivingDunk,athleticism,durability,offConst,defConst,drawFoul
布兰登·英格拉姆,Brandon Ingram,SF,1,1,84,88,96,82,82,54,69,38,66,71,38,61,90,65,80,73,80,95,40,74
达利乌斯·加兰,Darius Garland,PG,5,1,84,92,90,86,85,31,71,33,42,83,43,37,85,25,40,80,81,90,50,50
八村塁,Rui Hachimura,PF,4,1,79,87,85,85,73,60,54,37,51,44,36,50,75,80,80,80,79,85,35,50
马克斯·斯特鲁斯,Max Strus,SG,5,1,78,86,85,91,88,45,66,47,81,61,33,25,74,35,65,73,58,70,50,42
布鲁克·洛佩斯,Brook Lopez,C,5,1,77,94,74,80,77,80,45,40,64,47,43,85,54,75,65,68,78,70,80,40
小德里克·琼斯,Derrick Jones Jr.,PF,4,2,77,91,82,79,76,67,82,48,48,51,49,75,78,85,94,81,71,65,80,52
布拉德利·比尔,Bradley Beal,SF,4,2,76,85,80,80,81,45,60,36,47,65,46,56,84,30,75,78,56,70,40,45
基顿·瓦格勒,Keaton Wagler,SG,5,2,75,73,81,80,80,43,68,35,46,80,42,37,73,25,40,74,80,60,55,59
克里斯·邓恩,Kris Dunn,PG,1,2,75,95,71,81,78,40,87,40,51,70,90,40,71,40,55,80,80,45,85,40
以赛亚·杰克逊,Isaiah Jackson,C,2,2,74,97,69,59,65,70,54,88,80,40,56,83,72,75,70,79,73,45,55,59
乔丹·米勒,Jordan Miller,PF,1,3,74,94,85,75,76,54,65,50,52,59,53,42,84,40,80,75,79,75,45,64
科比·桑德斯,Kobe Sanders,PG,4,3,74,85,77,82,79,48,57,38,51,64,49,40,77,70,85,74,86,70,45,64
格雷迪·迪克,Gradey Dick,SG,5,3,73,66,82,72,87,55,73,47,53,54,59,40,73,35,75,76,86,50,55,60
杰伦·皮凯特,Jalen Pickett,PG,4,3,73,91,70,81,76,47,62,40,60,72,37,37,75,25,60,71,81,65,45,50
雅尼克·科南·尼德豪瑟,Yanic Konan Niederhauser,C,2,3,73,95,62,40,76,70,48,72,76,32,30,87,69,85,80,77,72,60,50,47
卡姆·克里斯蒂,Cam Christie,SG,5,3,70,63,79,70,76,47,62,44,65,57,41,40,65,40,75,74,83,40,45,40
约翰尼·布鲁姆,Johni Broome,PF,3,3,70,75,75,69,60,70,60,69,69,60,49,72,73,50,60,69,68,50,60,55
巴巴·米勒,Baba Miller,PF,2,3,69,70,62,52,65,66,66,57,74,53,49,56,78,50,75,73,80,35,50,67
尼克·马丁内利,Nick Martinelli,SF,5,3,68,80,80,80,81,52,52,52,54,52,35,42,70,40,60,61,80,50,35,40
贾马里昂·夏普,Jamarion Sharp,C,2,3,67,69,30,25,41,70,30,67,70,33,42,82,50,75,65,49,65,35,50,70
