name,englishName,position,playerType,rotationType,rating,insideRating,midRating,threeRating,freeThrowPercent,interiorDefense,perimeterDefense,orbRating,drbRating,astRating,stlRating,blkRating,layupRating,standDunk,drivingDunk,athleticism,durability,offConst,defConst,drawFoul
杰伦·约翰逊,Jalen Johnson,PF,1,1,87,83,88,80,78,66,66,46,89,82,49,51,90,75,96,77,86,95,50,90
CJ·麦科勒姆,C.J. McCollum,PG,4,1,83,96,88,85,77,35,70,39,47,73,41,52,82,30,40,83,82,95,65,52
尼克尔·亚历山大-沃克,Nickeil Alexander-Walker,SG,5,1,83,78,79,87,90,52,84,36,48,71,56,55,85,40,60,76,88,85,80,67
戴森·丹尼尔斯,Dyson Daniels,SF,3,1,81,90,68,50,62,67,94,62,62,75,96,51,84,25,75,81,92,50,90,51
奥涅卡·奥孔古,Onyeka Okongwu,C,4,1,81,92,88,82,76,79,64,57,77,52,49,72,85,85,85,81,89,80,65,75
吕冈茨·多尔特,Luguentz Dort,SF,5,2,78,64,86,78,76,75,90,42,51,55,75,55,71,50,85,87,84,40,90,40
阿伦·威金斯,Aaron Wiggins,PF,5,2,76,82,87,80,74,48,59,41,54,59,59,58,77,35,70,71,81,80,55,62
德文·卡特,Devin Carter,PG,4,2,75,82,83,73,80,58,73,51,63,76,73,50,74,30,80,86,77,70,50,40
乔克·兰代尔,Jock Landale,C,4,2,75,98,72,81,64,71,48,85,63,52,38,62,76,65,65,68,76,65,45,44
巴迪·希尔德,Buddy Hield,SG,4,2,74,97,50,88,81,48,69,43,53,61,70,51,78,25,65,70,83,35,50,59
金斯顿·弗莱明斯,Kingston Flemings,PG,5,3,74,79,84,79,78,44,74,30,42,79,69,31,79,25,80,81,80,50,65,44
阿萨·纽厄尔,Asa Newell,PF,4,3,73,91,67,82,56,70,66,66,53,47,46,63,74,80,85,77,85,60,60,51
科里·基斯珀特,Corey Kispert,SF,5,3,73,88,80,80,82,54,70,38,52,59,33,45,73,40,60,74,81,50,65,42
穆罕默德·盖耶,Mouhamed Gueye,PF,4,3,72,71,54,73,65,60,48,65,68,52,76,68,71,75,80,75,80,70,45,58
瑞安·内姆布哈德,Ryan Nembhard,PG,1,3,72,82,79,80,77,31,66,30,50,86,36,30,78,25,30,72,87,60,45,35
贾伦·威尔逊,Jalen Wilson,SF,5,3,71,80,79,79,73,35,57,34,58,53,40,32,76,30,75,76,89,65,40,59
祖比·埃吉奥尔夫,Zuby Ejiofor,C,2,3,71,72,64,62,72,72,67,72,66,57,57,79,73,50,80,78,84,30,65,52
亨里·韦萨尔,Henri Veesaar,PF,5,3,70,74,74,76,62,63,40,67,80,53,40,72,70,75,75,75,82,45,45,37
雷杰·丹尼斯,RayJ Dennis,PG,5,3,69,72,74,75,73,44,67,32,44,74,68,35,73,25,55,73,84,55,45,47
凯雄·吉尔伯特,Keshon Gilbert,SG,5,3,68,76,73,73,75,34,76,38,43,69,67,34,76,25,60,75,84,35,65,40
