name,englishName,position,playerType,rotationType,rating,insideRating,midRating,threeRating,freeThrowPercent,interiorDefense,perimeterDefense,orbRating,drbRating,astRating,stlRating,blkRating,layupRating,standDunk,drivingDunk,athleticism,durability,offConst,defConst,drawFoul
巴姆·阿德巴约,Bam Adebayo,C,1,1,88,88,81,78,77,90,88,57,86,65,43,58,84,85,80,84,90,70,95,60
泰勒·希罗,Tyler Herro,PG,1,1,86,98,93,83,91,46,69,33,57,76,41,51,92,30,60,73,80,95,50,82
诺曼·鲍威尔,Norman Powell,SF,4,1,85,97,78,84,83,50,79,31,52,66,56,42,87,25,80,77,82,95,75,65
安德鲁·威金斯,Andrew Wiggins,PF,4,1,81,87,76,85,79,55,74,53,52,56,49,68,77,40,85,82,83,70,65,50
凯尔·韦尔,Kel’el Ware,C,1,2,80,74,64,84,78,75,37,90,91,39,43,78,77,85,86,78,80,60,60,62
佩莱·拉尔森,Pelle Larsson,SG,1,1,79,91,87,75,77,52,65,42,51,66,41,47,74,45,75,78,80,75,50,69
达维翁·米切尔,Davion Mitchell,PG,4,2,78,97,78,85,66,44,87,31,44,75,49,40,79,25,40,80,80,50,85,30
小海梅·哈克斯,Jaime Jaquez Jr.,SF,3,2,78,91,80,70,75,68,72,48,61,71,42,45,85,55,88,78,80,70,75,45
卡斯帕拉斯·雅库西奥尼斯,Kasparas Jakucionis,SG,5,2,76,62,71,85,90,59,66,48,52,76,49,32,78,35,70,79,80,75,60,73
迈伦·加德纳,Myron Gardner,SF,4,3,75,76,72,83,64,45,69,79,67,64,70,48,76,40,70,74,80,70,65,45
西蒙尼·方特基奥,Simone Fontecchio,SF,5,3,75,73,83,80,83,51,65,47,63,53,42,42,79,40,65,68,80,50,45,67
德鲁·史密斯,Dru Smith,PG,4,3,75,81,77,73,83,40,74,49,50,74,95,57,82,40,45,67,80,75,65,60
尼古拉·约维奇,Nikola Jovic,PF,5,2,74,80,70,73,68,59,62,40,68,67,46,57,77,30,60,67,80,60,40,62
特里·罗齐尔三世,Terry Rozier III,SG,4,3,74,85,80,72,86,55,75,40,57,71,37,51,84,40,75,83,82,50,50,85
凯沙德·约翰逊,Keshad Johnson,PF,4,3,72,75,70,71,70,52,60,68,66,49,46,70,72,50,86,84,80,65,40,40
特雷弗·基尔斯,Trevor Keels,SG,5,3,68,71,68,71,84,37,60,44,47,74,52,51,70,50,70,75,80,50,50,50
弗拉迪斯拉夫·戈尔丁,Vladislav Goldin,C,1,3,68,70,68,66,73,66,45,69,65,51,35,67,60,75,65,57,80,50,50,63
贾米尔·杨,Jahmir Young,PG,1,3,67,74,81,72,83,27,64,38,56,74,60,50,76,25,25,73,80,50,40,50
