name,englishName,position,playerType,rotationType,rating,insideRating,midRating,threeRating,freeThrowPercent,interiorDefense,perimeterDefense,orbRating,drbRating,astRating,stlRating,blkRating,layupRating,standDunk,drivingDunk,athleticism,durability,offConst,defConst,drawFoul
布兰登·米勒,Brandon Miller,SG,4,1,86,83,74,81,86,50,73,45,57,72,49,67,80,55,87,78,80,95,65,83
拉梅洛·鲍尔,LaMelo Ball,PG,4,1,86,81,69,80,89,45,70,44,66,93,63,45,84,45,75,79,82,80,75,70
康·克努佩尔,Kon Knueppel,SF,4,1,85,97,77,92,90,48,70,47,63,71,38,40,84,40,55,72,80,90,65,44
迈尔斯·布里奇斯,Miles Bridges,PF,4,1,82,85,69,76,83,60,59,43,68,68,33,55,86,60,88,82,85,95,45,89
科林·塞克斯顿,Collin Sexton,SG,1,2,80,91,79,82,87,45,67,35,43,74,56,37,80,30,75,80,81,80,50,50
穆萨·迪亚巴特,Moussa Diabate,C,2,2,79,92,72,67,66,65,41,93,78,42,42,76,68,65,80,76,80,50,55,57
瑞安·卡尔克布伦纳,Ryan Kalkbrenner,C,2,1,79,97,74,73,67,78,30,79,68,43,40,87,60,80,75,65,80,70,75,67
梅森·普拉姆利,Mason Plumlee,C,2,3,76,85,60,58,65,74,46,71,89,71,40,75,81,85,80,71,83,55,60,40
蒂德扎内·萨劳恩,Tidjane Salaun,PF,5,2,76,74,65,86,70,69,74,51,86,42,38,52,75,65,80,78,80,60,50,47
赛昂·詹姆斯,Sion James,SF,5,2,76,61,70,78,87,69,72,37,56,59,38,52,79,55,70,83,80,65,65,47
约什·格林,Josh Green,SG,5,3,74,90,69,85,67,35,79,61,43,56,56,37,75,30,80,81,83,30,75,44
特雷·曼恩,Tre Mann,PG,5,2,74,69,82,75,84,49,62,48,56,74,41,40,87,25,60,72,80,75,40,45
格兰特·威廉姆斯,Grant Williams,PF,5,3,74,81,73,75,84,68,68,53,67,58,59,55,77,50,60,72,80,45,60,37
帕特·康诺顿,Pat Connaughton,SG,5,3,73,80,69,77,72,35,73,45,63,65,32,57,78,30,86,75,83,35,65,66
K.J.·辛普森,KJ Simpson,PG,5,3,73,76,53,74,81,42,64,38,57,75,86,25,78,25,50,76,80,65,40,50
PJ·霍尔,PJ Hall,C,5,3,72,75,73,74,70,55,47,89,77,45,50,60,68,75,75,74,80,65,40,69
利亚姆·麦克尼利,Liam McNeeley,SF,5,3,72,56,70,82,81,51,62,42,66,62,47,37,67,40,60,74,80,60,40,58
安东尼奥·里夫斯,Antonio Reeves,SG,5,3,70,89,75,86,84,32,60,40,41,53,42,40,80,30,70,71,80,60,40,40
