name,englishName,position,playerType,rotationType,rating,insideRating,midRating,threeRating,freeThrowPercent,interiorDefense,perimeterDefense,orbRating,drbRating,astRating,stlRating,blkRating,layupRating,standDunk,drivingDunk,athleticism,durability,offConst,defConst,drawFoul
劳里·马尔卡宁,Lauri Markkanen,SF,4,1,87,96,72,82,90,66,65,55,66,60,41,52,80,80,80,70,80,90,65,85
基扬特·乔治,Keyonte George,PG,4,1,87,94,83,81,89,34,65,32,52,81,43,45,90,40,65,75,80,95,50,86
小贾伦·杰克逊,Jaren Jackson Jr.,PF,1,1,86,97,57,79,80,93,80,40,67,44,42,83,82,85,80,78,94,75,95,70
沃克·凯斯勒,Walker Kessler,C,3,1,83,97,74,70,70,84,65,93,88,41,37,93,65,85,75,66,80,65,85,51
优素福·努尔基奇,Jusuf Nurkic,C,3,2,82,97,88,79,55,71,45,73,93,75,73,56,68,75,65,66,72,75,70,70
以赛亚·科利尔,Isaiah Collier,PG,3,2,82,94,70,73,72,30,62,32,48,89,59,52,87,30,75,81,80,75,55,50
艾斯·贝利,Ace Bailey,SG,4,1,80,97,74,78,74,59,68,56,49,56,43,58,74,60,80,79,80,85,60,59
布赖斯·森萨博,Brice Sensabaugh,SF,5,2,80,98,78,82,83,50,55,44,51,56,43,40,83,35,60,70,79,80,35,41
凯尔·菲利波夫斯基,Kyle Filipowski,PF,1,2,79,97,70,78,75,60,55,67,85,59,59,62,64,70,70,73,80,75,50,50
凯文·乐福,Kevin Love,PF,5,3,76,98,79,80,83,69,50,68,89,66,36,57,72,70,50,65,77,55,50,50
科迪·威廉姆斯,Cody Williams,SF,1,3,76,97,63,71,69,68,73,47,48,54,42,60,79,50,80,78,80,55,55,40
斯维·米哈伊柳克,Svi Mykhailiuk,SG,5,2,76,92,83,84,89,37,55,41,45,58,37,32,70,40,55,72,79,70,30,39
约翰·康查尔,John Konchar,SG,5,3,75,94,73,72,60,54,62,52,65,65,88,71,73,40,55,70,84,55,45,40
以利亚·哈克利斯,Elijah Harkless,PG,5,3,71,74,68,75,75,42,76,48,57,69,80,47,74,25,51,77,80,70,70,57
布莱克·欣森,Blake Hinson,SF,5,3,71,70,75,85,69,51,57,45,46,53,28,37,70,40,55,66,84,65,35,40
奥斯卡·奇布维,Oscar Tshiebwe,C,2,3,70,89,69,37,70,69,48,91,78,44,56,40,62,75,75,76,80,30,55,37
安德森·加西亚,Andersson Garcia,PF,5,3,69,71,69,71,69,66,66,67,68,49,73,60,70,70,75,73,83,30,50,54
贝兹·姆本,Bez Mbeng,SG,5,3,68,68,66,69,68,55,73,57,52,63,78,51,67,30,65,73,80,30,60,47
