name,englishName,position,playerType,rotationType,rating,insideRating,midRating,threeRating,freeThrowPercent,interiorDefense,perimeterDefense,orbRating,drbRating,astRating,stlRating,blkRating,layupRating,standDunk,drivingDunk,athleticism,durability,offConst,defConst,drawFoul
多曼塔斯·萨博尼斯,Domantas Sabonis,C,3,1,85,87,86,73,73,70,49,75,93,77,49,37,82,75,75,69,86,90,60,70
德马尔·德罗赞,DeMar DeRozan,SF,3,1,84,98,95,78,88,58,64,33,50,71,59,42,85,55,80,81,91,85,55,50
扎克·拉文,Zach LaVine,SG,4,1,83,98,79,85,88,47,61,29,48,59,38,37,87,60,94,79,83,85,40,80
拉塞尔·威斯布鲁克,Russell Westbrook,PG,1,1,81,91,60,77,69,42,74,56,75,81,73,40,87,30,80,88,92,90,70,65
马克西姆·雷诺,Maxime Raynaud,C,3,2,79,97,80,76,71,59,32,67,82,45,36,61,68,70,70,68,80,75,45,69
基根·穆雷,Keegan Murray,PF,4,1,79,98,73,76,79,68,78,48,62,54,46,80,77,60,80,77,80,75,75,45
丹尼斯·施罗德,Dennis Schroder,PG,4,2,78,86,85,79,84,34,73,36,54,79,42,40,84,25,45,79,80,70,60,37
马利克·蒙克,Malik Monk,SF,4,2,77,82,83,86,82,45,60,33,46,70,46,57,82,40,75,76,80,70,45,44
普雷修斯·阿丘瓦,Precious Achiuwa,PF,3,2,76,85,60,72,49,79,56,70,76,40,59,58,79,85,80,80,76,50,75,51
基昂·埃利斯,Keon Ellis,SG,5,2,76,88,85,79,61,58,84,35,41,53,96,66,75,25,65,76,80,50,80,54
德鲁·尤班克斯,Drew Eubanks,C,4,3,75,97,73,77,56,74,47,48,78,41,46,89,69,75,70,71,83,75,45,44
尼克·克利福德,Nique Clifford,SG,1,3,75,79,74,73,71,55,66,45,60,56,49,51,75,40,70,79,80,65,55,60
达里奥·沙里奇,Dario Saric,PF,1,3,74,82,71,70,83,80,66,62,76,65,63,25,74,45,70,70,81,50,75,50
德文·卡特,Devin Carter,PG,4,3,74,83,67,75,61,58,73,51,69,76,80,55,74,30,80,87,80,65,50,40
道格·麦克德莫特,Doug McDermott,PF,5,3,71,85,78,85,76,52,58,30,48,52,32,42,79,50,65,65,83,50,40,60
迪伦·卡德韦尔,Dylan Cardwell,C,2,3,71,77,60,37,55,75,44,77,74,50,75,89,74,85,80,74,80,50,60,37
德奎昂·普劳登,Daeqwon Plowden,SF,5,3,68,67,68,74,77,46,66,42,46,53,47,37,75,40,80,77,80,35,50,37
以赛亚·史蒂文斯,Isaiah Stevens,PG,5,3,68,70,74,74,84,44,58,30,39,78,36,25,72,25,35,75,79,40,40,45
