name,englishName,position,playerType,rotationType,rating,insideRating,midRating,threeRating,freeThrowPercent,interiorDefense,perimeterDefense,orbRating,drbRating,astRating,stlRating,blkRating,layupRating,standDunk,drivingDunk,athleticism,durability,offConst,defConst,drawFoul
卢卡·东契奇,Luka Doncic,SF,4,1,97,98,94,88,77,58,59,36,81,95,59,52,96,65,75,83,85,98,45,98
勒布朗·詹姆斯,LeBron James,PF,1,1,92,95,74,75,75,74,74,38,67,89,46,56,97,80,85,84,97,80,60,80
奥斯汀·里夫斯,Austin Reaves,SG,4,1,88,97,74,84,88,35,66,36,61,80,43,47,94,25,70,77,80,95,55,89
德安德烈·艾顿,Deandre Ayton,C,2,1,80,97,90,63,66,76,49,73,85,50,38,70,79,90,75,72,81,60,70,58
马库斯·斯玛特,Marcus Smart,PG,5,1,79,81,94,76,80,74,86,38,47,66,80,51,70,25,50,83,83,30,85,27
八村塁,Rui Hachimura,PF,4,2,79,85,94,86,75,60,54,37,51,44,37,50,79,80,80,80,80,65,35,50
卢克·肯纳德,Luke Kennard,SG,4,2,77,98,97,93,91,35,51,35,48,66,46,37,70,30,60,66,80,50,40,49
杰克·拉拉维亚,Jake LaRavia,SF,4,2,77,94,60,76,75,78,78,57,53,58,70,56,79,60,75,74,80,60,75,69
贾里德·范德比尔特,Jarred Vanderbilt,C,5,2,76,64,74,73,64,83,83,67,78,45,63,56,75,75,75,79,78,40,85,40
贾克森·海耶斯,Jaxson Hayes,C,2,3,76,98,68,60,64,78,48,70,67,34,38,73,79,85,88,74,80,50,65,52
马克西·克勒贝尔,Maxi Kleber,PF,1,3,74,86,70,67,64,80,77,67,54,57,33,63,73,75,75,70,80,35,75,40
道尔顿·克内克特,Dalton Knecht,SG,5,3,74,92,91,79,70,50,59,39,53,52,42,63,78,45,65,74,80,40,35,44
小尼克·史密斯,Nick Smith Jr.,PG,4,2,73,96,70,83,91,33,63,29,41,61,43,42,82,40,80,77,80,65,40,41
德鲁·蒂米,Drew Timme,C,1,3,72,86,75,75,79,57,40,57,60,58,46,45,68,70,65,62,81,60,30,40
科比·巴夫金,Kobe Bufkin,PG,5,3,71,80,79,70,72,48,64,46,61,70,38,56,80,30,75,77,80,45,40,40
布朗尼·詹姆斯,Bronny James Jr.,PG,4,3,70,69,65,70,73,47,72,48,50,57,57,44,70,35,80,84,80,45,65,37
阿杜·蒂埃罗,Adou Thiero,SG,2,3,70,75,64,71,69,57,67,64,57,42,72,55,73,50,88,80,80,25,50,65
克里斯·马农,Chris Manon,SF,5,3,68,71,68,69,74,50,70,40,47,62,79,55,74,30,85,81,80,30,60,40
