name,englishName,position,playerType,rotationType,rating,insideRating,midRating,threeRating,freeThrowPercent,interiorDefense,perimeterDefense,orbRating,drbRating,astRating,stlRating,blkRating,layupRating,standDunk,drivingDunk,athleticism,durability,offConst,defConst,drawFoul
迈克尔·波特,Michael Porter Jr.,SF,4,1,86,90,74,85,85,60,64,46,81,65,43,40,92,60,80,80,66,90,40,55
尼古拉斯·克拉克斯顿,Nic Claxton,C,2,1,82,93,79,64,65,84,79,68,77,52,40,81,79,80,75,79,80,70,85,55
埃戈尔·德明,Egor Demin,PG,5,1,78,85,64,83,85,47,65,35,56,79,53,51,85,45,65,76,80,75,60,57
戴伦·夏普,Day’Ron Sharpe,C,3,2,78,90,74,60,68,69,60,92,87,66,86,62,76,75,70,74,80,65,60,44
诺阿·克朗尼,Noah Clowney,PF,5,1,77,91,54,74,80,68,57,43,60,55,41,66,72,80,80,73,80,80,55,65
丹尼·沃尔夫,Danny Wolf,PF,4,2,77,75,76,78,83,58,55,53,80,68,46,62,76,70,70,65,80,75,45,69
诺兰·特拉奥雷,Nolan Traore,PG,4,2,77,84,69,75,81,44,60,29,42,79,41,52,81,30,70,78,80,70,40,62
齐艾尔·威廉姆斯,Ziaire Williams,SF,5,2,76,88,68,72,88,60,73,39,51,44,73,62,75,65,80,77,80,50,70,50
约什·米诺特,Josh Minott,PF,5,3,75,69,85,85,77,59,67,67,68,53,63,63,75,65,80,77,80,55,65,59
奥查伊·阿巴吉,Ochai Agbaji,SG,1,2,75,69,83,65,86,57,78,53,51,50,41,56,78,65,80,81,80,50,65,40
特伦斯·曼,Terance Mann,SG,4,1,74,79,65,78,82,54,66,52,50,77,46,47,83,45,75,74,80,60,50,49
贾伦·威尔逊,Jalen Wilson,SF,5,3,73,80,79,77,75,35,57,30,50,52,40,35,78,30,75,71,80,50,40,59
本·萨拉夫,Ben Saraf,SG,4,3,73,82,78,69,75,40,62,38,46,82,64,37,71,30,60,71,80,60,45,67
德雷克·鲍威尔,Drake Powell,SG,4,3,73,95,88,74,90,54,75,32,46,63,46,42,74,45,85,82,80,40,65,50
E.J.·利德尔,E.J. Liddell,C,5,3,70,80,79,76,76,65,54,59,66,55,44,79,75,55,60,74,80,45,50,37
泰森·艾蒂安,Tyson Etienne,PG,5,3,70,74,76,78,79,30,64,33,49,65,44,30,74,25,60,73,80,65,45,50
钱尼·约翰逊,Chaney Johnson,SF,4,3,69,74,67,74,71,69,73,70,65,48,70,70,75,65,85,78,80,25,60,37
