name,englishName,position,playerType,rotationType,rating,insideRating,midRating,threeRating,freeThrowPercent,interiorDefense,perimeterDefense,orbRating,drbRating,astRating,stlRating,blkRating,layupRating,standDunk,drivingDunk,athleticism,durability,offConst,defConst,drawFoul
尼古拉·约基奇,Nikola Jokic,C,1,1,97,99,98,85,83,83,61,73,97,96,56,61,94,75,75,76,81,98,80,98
贾马尔·穆雷,Jamal Murray,PG,4,1,89,89,90,88,89,35,77,32,55,81,40,50,90,30,82,79,85,90,70,75
阿龙·戈登,Aaron Gordon,PF,4,1,83,75,74,82,76,80,84,55,67,58,38,47,79,85,94,86,68,70,80,85
德马尔·德罗赞,DeMar DeRozan,SG,3,1,83,97,95,73,87,58,64,33,47,72,46,45,89,55,80,81,83,90,55,50
卡梅隆·约翰逊,Cameron Johnson,SF,5,1,80,75,71,89,84,65,69,40,51,55,40,51,78,60,60,75,75,75,65,64
克里斯蒂安·布劳恩,Christian Braun,SG,1,2,79,97,67,78,79,40,79,51,53,62,37,45,85,25,85,82,83,75,80,69
马文·巴格利三世,Marvin Bagley III,C,3,2,76,94,79,75,65,58,49,86,75,49,38,70,75,70,75,80,73,75,40,50
朱利安·斯特劳瑟,Julian Strawther,PF,4,2,75,96,70,80,81,44,74,34,57,55,43,40,79,35,70,69,80,70,65,67
泰厄斯·琼斯,Tyus Jones,PG,4,2,73,88,78,70,89,30,67,31,41,79,66,35,89,25,30,68,81,40,50,70
KJ·辛普森,KJ Simpson,PG,2,3,72,76,53,74,81,42,64,38,57,75,86,25,78,25,50,76,84,65,40,50
朗尼·沃克四世,Lonnie Walker IV,SF,1,2,72,76,85,77,76,55,74,33,65,68,38,51,82,40,75,79,82,45,35,67
斯宾塞·琼斯,Spencer Jones,SF,4,3,72,95,72,81,61,57,64,56,50,46,53,58,76,40,65,70,82,70,50,59
阿尔法·迪亚洛,Alpha Diallo,SG,5,3,71,73,74,74,76,68,78,38,44,61,74,40,73,40,70,75,72,40,75,45
达龙·霍姆斯二世,DaRon Holmes II,PF,5,3,71,77,76,78,70,76,63,42,55,47,29,62,68,75,75,73,73,65,55,50
泽科·纳吉,Zeke Nnaji,C,1,3,71,73,76,72,77,72,54,55,67,35,42,73,75,80,70,79,83,45,50,69
特雷冯·布拉齐尔,Trevon Brazile,PF,4,3,69,64,61,70,70,66,63,47,58,59,60,66,72,75,80,78,83,40,45,50
布莱斯·霍普金斯,Bryce Hopkins,SF,4,3,68,71,67,74,71,68,68,57,60,57,60,37,72,60,75,76,83,40,45,45
