name,englishName,position,playerType,rotationType,rating,insideRating,midRating,threeRating,freeThrowPercent,interiorDefense,perimeterDefense,orbRating,drbRating,astRating,stlRating,blkRating,layupRating,standDunk,drivingDunk,athleticism,durability,offConst,defConst,drawFoul
泰里斯·哈利伯顿,Tyrese Haliburton,PG,4,1,93,98,91,84,86,60,77,35,49,95,63,56,94,40,65,81,80,80,75,62
帕斯卡尔·西亚卡姆,Pascal Siakam,PF,1,1,87,97,69,80,68,85,79,48,68,73,46,51,88,80,80,79,82,85,80,78
伊维察·祖巴茨,Ivica Zubac,C,2,1,85,97,76,26,71,92,63,85,88,53,33,67,83,85,80,72,80,75,95,55
安德鲁·内姆哈德,Andrew Nembhard,SG,4,1,82,90,79,80,82,68,88,32,46,80,42,35,80,39,60,72,80,60,85,41
奥比·托平,Obi Toppin,PF,4,3,80,98,53,77,84,66,48,42,84,52,42,56,88,85,90,76,88,60,40,60
TJ·麦康奈尔,T.J. McConnell,PG,3,2,80,97,96,72,88,49,82,36,54,90,90,45,76,25,25,74,83,60,80,40
贾拉斯·沃克,Jarace Walker,PF,4,2,80,82,72,80,76,67,62,38,75,63,46,51,78,70,85,83,80,80,60,40
亚伦·内史密斯,Aaron Nesmith,SF,5,1,79,90,64,80,84,72,76,45,55,58,36,56,77,35,55,76,81,70,75,78
杰伊·赫夫,Jay Huff,C,5,2,79,98,82,74,83,79,32,47,66,49,40,95,60,65,65,64,77,75,75,64
迈卡·波特,Micah Potter,C,5,3,76,95,70,83,89,59,37,57,76,50,40,56,60,75,65,64,81,70,45,50
昆顿·杰克逊,Quenton Jackson,SG,4,2,75,68,50,81,82,46,73,41,51,74,49,50,80,40,80,75,79,75,65,57
本·谢泼德,Ben Sheppard,SF,5,2,75,84,86,78,76,54,79,40,56,61,41,32,78,35,60,78,80,60,75,49
约翰尼·弗菲,Johnny Furphy,PF,4,3,74,89,77,79,49,52,57,52,77,52,49,50,79,60,60,75,80,60,50,48
卡姆·琼斯,Kam Jones,PG,4,3,74,87,79,73,66,30,60,35,44,76,41,25,79,30,60,72,80,65,40,54
泰伦·彼得,Taelon Peter,SG,5,3,73,81,80,74,77,40,52,35,53,63,70,51,79,35,80,73,80,65,45,59
伊森·汤普森,Ethan Thompson,SF,5,3,72,89,78,73,83,48,61,45,43,62,41,53,71,40,60,70,80,55,45,50
科比·布朗,Kobe Brown,PF,1,3,71,76,72,76,80,62,62,66,61,59,38,51,79,60,65,72,80,60,45,50
杰伦·斯劳森,Jalen Slawson,SF,5,3,71,73,71,72,77,65,59,55,59,53,56,67,70,65,80,69,83,50,60,49
