name,englishName,position,playerType,rotationType,rating,insideRating,midRating,threeRating,freeThrowPercent,interiorDefense,perimeterDefense,orbRating,drbRating,astRating,stlRating,blkRating,layupRating,standDunk,drivingDunk,athleticism,durability,offConst,defConst,drawFoul
斯科蒂·巴恩斯,Scottie Barnes,PF,1,1,88,88,85,80,84,80,80,62,77,76,59,82,86,80,80,85,80,95,85,86
布兰登·英格拉姆,Brandon Ingram,SF,3,1,86,91,95,78,82,54,69,37,67,71,38,58,90,65,80,73,85,95,40,74
RJ·巴雷特,R.J. Barrett,SG,1,1,82,95,80,80,71,58,81,38,65,76,41,47,88,45,80,83,80,80,75,80
伊曼纽尔·奎克利,Immanuel Quickley,PG,4,1,81,91,87,80,82,37,80,33,57,77,49,32,80,40,55,78,79,85,75,60
雅各布·珀尔特尔,Jakob Poeltl,C,2,1,80,90,79,45,60,81,45,83,80,58,46,60,73,75,60,64,80,60,80,60
桑德罗·马穆凯拉什维利,Sandro Mamukelashvili,C,1,2,78,81,69,82,79,65,50,65,69,59,46,68,69,65,65,71,80,70,45,54
科林·默里-博伊尔斯,Collin Murray-Boyles,PF,1,2,77,68,70,84,57,72,74,84,54,59,53,67,78,55,75,82,80,55,65,67
格雷迪·迪克,Gradey Dick,SG,4,2,76,58,85,74,84,55,73,40,51,54,66,42,74,35,75,76,80,50,55,66
奥凯·阿格巴吉,Ochai Agbaji,PF,5,3,75,79,83,66,86,57,78,48,52,50,43,52,78,65,80,81,80,50,65,40
贾科比·沃尔特,Ja’Kobe Walter,SF,4,2,75,92,78,81,77,47,66,47,46,56,80,42,79,35,75,79,80,50,50,45
贾马尔·希德,Jamal Shead,PG,5,2,75,56,73,76,76,34,77,34,44,79,70,42,74,25,50,82,80,60,50,40
乔纳森·莫格博,Jonathan Mogbo,C,1,3,74,60,53,70,70,64,64,67,67,61,56,66,80,60,80,81,80,50,60,55
AJ·劳森,A.J. Lawson,SG,4,3,73,75,68,76,66,48,60,46,62,55,41,53,80,45,75,72,80,65,50,54
贾米森·巴特尔,Jamison Battle,SF,5,3,73,85,85,86,83,58,58,44,56,45,33,47,70,40,65,65,80,70,40,49
加勒特·坦普尔,Garrett Temple,SG,4,3,70,82,55,72,79,46,78,58,51,65,59,47,70,25,30,68,82,40,70,40
阿利亚·马丁,Alijah Martin,SG,4,3,69,76,70,76,76,48,71,40,55,62,70,56,76,25,85,82,80,35,65,49
查基·赫普本,Chucky Hepburn,PG,1,3,68,70,71,73,81,30,79,36,43,75,84,32,72,25,40,73,80,40,70,74
