name,englishName,position,playerType,rotationType,rating,insideRating,midRating,threeRating,freeThrowPercent,interiorDefense,perimeterDefense,orbRating,drbRating,astRating,stlRating,blkRating,layupRating,standDunk,drivingDunk,athleticism,durability,offConst,defConst,drawFoul
德文·布克,Devin Booker,SG,1,1,93,94,88,86,87,58,75,37,52,78,41,45,95,30,75,81,81,95,65,87
狄龙·布鲁克斯,Dillon Brooks,SF,4,1,85,97,73,78,86,77,90,38,51,51,76,37,74,35,75,81,85,85,90,69
马克·威廉姆斯,Mark Williams,C,2,1,82,97,60,36,77,75,44,90,84,46,56,76,77,85,75,75,57,85,60,55
杰伦·格林,Jalen Green,SG,5,2,82,83,95,79,76,45,64,33,60,74,76,30,85,40,91,82,80,75,55,70
格雷森·阿伦,Grayson Allen,SF,5,2,82,82,94,85,86,35,72,37,47,69,70,47,79,25,70,75,82,85,45,49
科林·吉莱斯皮,Collin Gillespie,PG,5,1,81,91,76,86,86,33,62,45,56,79,66,42,83,40,54,72,80,90,55,67
罗伊斯·奥尼尔,Royce O’Neale,PF,5,1,77,74,70,84,70,68,80,38,66,57,56,51,80,55,70,72,82,70,75,59
乔丹·古德温,Jordan Goodwin,PG,4,2,77,77,79,79,73,57,76,67,62,71,96,47,78,25,35,73,80,75,75,66
奥索·伊戈达罗,Oso Ighodaro,C,2,2,77,94,60,35,47,62,47,64,69,56,63,68,74,80,80,80,80,70,45,37
贾马雷·布耶,Jamaree Bouyea,PG,4,3,75,88,74,76,71,42,68,40,52,70,73,66,76,25,45,74,82,75,50,60
拉希尔·弗莱明,Rasheer Fleming,PF,4,3,75,72,74,79,74,67,40,75,52,45,41,67,74,70,75,77,80,60,55,62
阿米尔·科菲,Amir Coffey,SF,5,3,74,74,94,74,79,47,64,41,46,60,36,51,84,25,75,71,79,50,50,49
瑞安·邓恩,Ryan Dunn,PF,4,2,74,75,70,75,50,76,80,63,65,52,59,61,75,55,80,82,80,50,80,30
卡曼·马卢阿赫,Khaman Maluach,C,1,3,74,70,66,50,76,81,63,80,73,44,83,85,71,85,80,69,80,30,75,40
海伍德·海史密斯,Haywood Highsmith,SF,4,3,73,86,70,81,75,70,79,45,52,48,59,61,78,35,45,70,86,50,70,40
以赛亚·利弗斯,Isaiah Livers,PF,5,3,71,78,86,77,82,37,65,40,46,55,42,40,76,25,65,70,82,50,55,44
科比·布雷亚,Kobe Brea,SG,5,3,68,72,74,84,89,48,59,41,57,57,42,45,71,40,60,70,80,50,50,30
CJ·亨特利,CJ Huntley,PF,5,3,68,74,73,72,69,63,51,69,70,46,42,59,78,75,80,67,80,40,45,45
