name,englishName,position,playerType,rotationType,rating,insideRating,midRating,threeRating,freeThrowPercent,interiorDefense,perimeterDefense,orbRating,drbRating,astRating,stlRating,blkRating,layupRating,standDunk,drivingDunk,athleticism,durability,offConst,defConst,drawFoul
谢伊·吉尔杰斯·亚历山大,Shai Gilgeous-Alexander,PG,1,1,97,97,99,82,88,69,86,34,54,93,70,62,98,40,75,85,84,98,85,98
切特·霍姆格伦,Chet Holmgren,C,1,1,86,92,87,79,80,95,75,61,86,51,67,89,86,75,75,74,87,80,90,85
杰伦·威廉姆斯,Jalen Williams,PF,3,1,85,87,79,77,83,85,88,41,61,76,66,50,86,25,80,85,78,70,90,54
阿杰·米切尔,Ajay Mitchell,SG,1,1,82,95,79,79,87,43,77,40,52,72,70,52,94,35,70,73,76,90,75,79
以赛亚·哈滕斯坦,Isaiah Hartenstein,C,2,2,82,96,79,55,59,83,41,95,88,60,63,71,80,90,80,76,72,75,80,72
亚历克斯·卡鲁索,Alex Caruso,SF,5,1,81,88,82,80,80,51,90,41,56,69,97,56,76,35,75,81,69,50,85,40
卡森·华莱士,Cason Wallace,SG,4,2,81,70,73,81,80,72,93,42,47,66,98,52,82,25,70,78,91,70,95,57
贾里德·麦凯恩,Jared McCain,PG,4,2,78,83,77,84,87,45,63,36,52,62,43,35,78,30,70,72,78,80,55,60
杰林·威廉姆斯,Jaylin Williams,PF,5,2,77,83,85,82,79,68,54,39,87,68,40,72,77,75,75,67,81,75,55,67
肯里奇·威廉姆斯,Kenrich Williams,SF,4,2,76,84,90,82,64,68,75,60,63,61,53,42,81,40,65,74,74,60,75,55
阿代·马拉,Aday Mara,C,2,3,73,80,66,47,56,73,44,62,73,63,41,86,58,75,65,65,80,55,60,52
尼古拉·托皮奇,Nikola Topic,PG,1,3,72,81,69,75,87,45,63,32,47,79,44,47,81,40,65,73,50,65,45,55
托马斯·索尔贝,Thomas Sorber,PF,2,3,71,75,70,60,72,69,58,68,69,63,62,75,70,75,75,74,43,45,60,44
本内特·斯特茨,Bennett Stirtz,PG,5,3,70,70,80,81,85,34,60,34,40,86,56,30,70,40,45,68,80,55,40,44
布鲁克斯·巴恩希泽,Brooks Barnhizer,SG,5,3,69,74,79,72,76,59,70,42,60,66,70,50,70,40,70,76,85,40,65,45
奥特加·欧威,Otega Oweh,SF,4,3,69,75,72,72,73,57,69,41,44,53,67,37,78,65,80,79,80,50,50,40
约什·迪克斯,Josh Dix,SG,5,3,68,73,77,77,85,44,63,33,52,58,40,37,70,50,65,68,77,40,40,50
