name,englishName,position,playerType,rotationType,rating,insideRating,midRating,threeRating,freeThrowPercent,interiorDefense,perimeterDefense,orbRating,drbRating,astRating,stlRating,blkRating,layupRating,standDunk,drivingDunk,athleticism,durability,offConst,defConst,drawFoul
安东尼·爱德华兹,Anthony Edwards,SG,4,1,96,96,84,89,80,59,87,34,60,74,56,61,96,50,97,87,83,98,85,95
朱利叶斯·兰德尔,Julius Randle,PF,1,1,86,91,79,74,80,77,73,52,67,76,46,40,90,85,80,81,84,90,75,92
鲁迪·戈贝尔,Rudy Gobert,C,2,1,85,80,54,25,53,90,64,90,87,53,40,82,57,85,75,73,81,40,95,70
杰登·麦克丹尼尔斯,Jaden McDaniels,SF,1,1,83,93,86,87,84,83,90,42,51,43,49,67,84,40,75,80,90,50,90,37
阿约·多苏穆,Ayo Dosunmu,SF,1,2,81,85,96,88,87,38,69,38,52,73,43,47,87,25,75,73,80,90,65,59
纳兹·里德,Naz Reid,C,4,2,81,97,63,80,73,78,54,49,78,57,53,73,75,80,80,74,80,75,75,60
唐特·迪文琴佐,Donte DiVincenzo,PG,5,1,79,82,88,82,76,58,82,40,54,73,59,51,84,25,75,84,81,80,80,52
邦斯·海兰德,Bones Hyland,PG,5,2,78,75,98,82,78,30,66,35,47,73,49,51,82,25,60,74,80,80,55,69
迈克·康利,Mike Conley,PG,5,3,75,53,70,74,90,31,83,34,45,78,43,51,72,25,30,77,82,40,80,60
凯尔·安德森,Kyle Anderson,PF,4,2,75,97,48,79,71,60,79,50,61,74,73,67,84,55,45,70,83,40,75,49
乔·英格尔斯,Joe Ingles,PF,5,3,73,64,65,86,86,58,80,34,56,73,53,35,80,40,45,72,80,45,75,40
杰伦·克拉克,Jaylen Clark,SG,4,2,73,78,67,73,66,52,81,61,44,51,80,50,73,50,70,77,79,50,75,39
小特伦斯·香农,Terrence Shannon Jr.,SG,5,3,73,60,76,82,77,49,72,36,45,57,42,30,80,40,85,80,80,50,50,49
朱利安·菲利普斯,Julian Phillips,SF,1,3,72,81,68,75,77,55,68,63,41,48,46,55,70,45,80,73,80,50,65,55
乔安·贝林格,Joan Beringer,PF,2,3,72,69,45,26,62,73,40,93,70,42,35,80,70,85,80,73,80,40,40,40
恩里克·弗里曼,Enrique Freeman,PF,1,3,69,74,66,66,67,66,66,40,57,50,35,56,74,60,80,78,80,30,50,40
罗科·齐卡尔斯基,Rocco Zikarsky,C,2,3,68,70,50,39,62,68,52,70,70,43,48,74,57,75,65,57,80,50,50,54
锡恩·普林,Zyon Pullin,PG,5,3,67,72,74,75,75,49,63,36,44,70,49,32,70,25,45,72,80,50,40,49
