name,englishName,position,playerType,rotationType,rating,insideRating,midRating,threeRating,freeThrowPercent,interiorDefense,perimeterDefense,orbRating,drbRating,astRating,stlRating,blkRating,layupRating,standDunk,drivingDunk,athleticism,durability,offConst,defConst,drawFoul
斯蒂芬·库里,Stephen Curry,PG,5,1,95,98,94,99,93,30,69,32,53,84,49,51,94,25,36,78,86,98,65,78
吉米·巴特勒,Jimmy Butler,SF,3,1,88,90,70,81,86,80,86,65,53,82,66,40,87,40,75,88,81,80,85,87
克里斯塔普斯·波尔津吉斯,Kristaps Porzingis,C,1,1,83,86,95,80,83,75,56,52,64,53,37,87,79,85,75,72,77,80,55,47
布兰丁·波杰姆斯基,Brandin Podziemski,SG,4,1,80,94,73,81,76,45,63,42,68,68,56,40,87,35,60,78,80,85,45,75
摩西·穆迪,Moses Moody,SG,5,2,79,82,73,86,77,68,71,42,52,55,53,60,84,40,70,76,80,70,65,70
吉·桑托斯,Gui Santos,PF,4,2,79,96,69,79,69,66,69,57,65,67,66,57,79,50,65,70,86,80,50,45
阿尔·霍福德,Al Horford,C,5,2,79,92,79,80,85,82,68,50,77,75,46,84,65,70,65,76,78,50,85,37
德安东尼·梅尔顿,De’Anthony Melton,PG,4,2,79,88,66,72,82,48,82,42,53,70,97,56,77,25,70,73,83,80,80,49
德雷蒙德·格林,Draymond Green,PF,5,1,79,80,76,76,70,93,88,40,75,79,79,61,70,55,65,80,88,25,95,30
加里·佩顿二世,Gary Payton II,SF,4,2,78,93,75,73,67,79,83,69,66,64,80,58,85,35,75,77,83,50,80,37
昆腾·波斯特,Quinten Post,PF,5,3,76,95,88,76,81,62,33,56,74,54,38,67,69,75,65,56,80,70,50,52
威尔·理查德,Will Richard,SF,4,3,76,82,84,77,84,50,72,52,46,55,93,40,79,30,75,76,80,65,65,40
帕特·斯潘塞,Pat Spencer,PG,4,3,75,80,79,81,77,44,55,47,49,77,59,32,70,40,75,76,84,75,40,59
赛斯·库里,Seth Curry,SG,5,3,74,70,95,89,80,25,57,37,48,62,40,42,85,25,36,72,80,70,35,35
内特·威廉姆斯,Nate Williams,SG,5,3,73,63,79,79,85,40,52,75,40,58,40,53,72,40,70,67,83,60,40,40
LJ·克莱尔,LJ Cryer,PG,1,3,73,80,79,84,85,25,57,38,53,62,30,25,70,25,30,71,83,75,45,57
奥默·尤尔特塞文,Omer Yurtseven,C,2,3,71,93,69,61,68,62,49,90,89,45,33,78,65,70,65,68,83,75,40,47
马莱维·莱昂斯,Malevy Leons,C,4,3,70,69,68,74,79,72,72,89,60,47,67,73,60,65,65,68,82,40,60,40
