name,englishName,position,playerType,rotationType,rating,insideRating,midRating,threeRating,freeThrowPercent,interiorDefense,perimeterDefense,orbRating,drbRating,astRating,stlRating,blkRating,layupRating,standDunk,drivingDunk,athleticism,durability,offConst,defConst,drawFoul
特雷·杨,Trae Young,PG,5,1,88,90,87,83,86,31,55,25,39,92,49,32,94,25,30,77,86,95,30,94
亚历山大·萨尔,Alexandre Sarr,C,1,1,83,86,67,79,68,78,72,67,75,65,41,97,82,90,85,75,80,75,80,78
凯肖恩·乔治,KyShawn George,PF,4,1,80,88,85,84,74,70,70,40,65,67,43,63,83,40,60,74,80,70,60,30
比拉尔·库利巴利,Bilal Coulibaly,SG,4,1,79,78,51,70,77,67,80,43,63,63,76,73,84,60,85,81,80,60,75,50
马文·巴格利三世,Marvin Bagley III,C,2,2,78,95,78,70,70,58,49,86,66,51,40,71,78,70,75,79,87,65,40,50
特雷·约翰逊,Tre Johnson,PG,5,2,78,88,98,85,90,41,62,35,51,57,38,53,80,50,75,77,80,65,55,55
克里斯·米德尔顿,Khris Middleton,SF,1,1,77,73,98,77,80,67,74,43,58,71,43,51,82,40,65,73,90,50,70,40
贾斯汀·尚佩尼,Justin Champagnie,SG,4,2,77,80,67,74,72,49,73,84,78,52,63,68,79,65,75,71,80,75,70,42
布布·卡灵顿,Bub Carrington,PG,1,2,77,69,76,87,70,40,55,33,58,76,35,40,75,35,60,75,80,60,35,57
卡姆·惠特莫尔,Cam Whitmore,PF,5,2,75,61,76,70,74,57,67,49,54,56,70,53,83,40,80,80,80,60,50,59
特里斯坦·武克切维奇,Tristan Vukcevic,C,3,3,74,97,91,60,78,59,44,50,66,53,41,74,73,70,65,69,80,60,45,48
A.J.·约翰逊,AJ Johnson,PG,1,3,73,63,74,72,75,49,56,32,47,69,37,37,80,30,80,72,80,60,30,44
威尔·莱利,Will Riley,SF,5,2,73,91,70,74,80,50,62,56,48,62,43,50,75,30,70,69,80,50,45,44
马拉基·布兰汉姆,Malaki Branham,SF,5,3,71,78,74,75,79,45,63,49,52,59,42,42,74,60,75,75,80,65,45,41
沙里夫·库珀,Sharife Cooper,PG,1,3,71,77,73,68,83,25,70,37,62,78,46,51,79,25,40,75,80,50,50,72
安东尼·吉尔,Anthony Gill,PF,3,3,71,91,72,70,61,66,60,46,56,41,38,37,70,75,75,73,80,65,50,40
贾米尔·沃特金斯,Jamir Watkins,SG,1,3,69,74,74,73,75,45,69,48,69,59,59,40,74,60,85,79,80,40,45,60
