"name","height","position","legendaryBadgeCount","purpleBadgeCount","goldBadgeCount","silverBadgeCount","bronzeBadgeCount","outsideScoringBadgeCount","insideScoringBadgeCount","generalOffenseBadgeCount","playmakingBadgeCount","defensiveBadgeCount","reboundingBadgeCount","allAroundBadgeCount","badgeCount","team","overallAttribute","closeShot","midRangeShot","threePointShot","freeThrow","shotIQ","offensiveConsistency","layup","standingDunk","drivingDunk","postHook","postFade","postControl","drawFoul","hands","interiorDefense","perimeterDefense","steal","block","helpDefenseIQ","passPerception","defensiveConsistency","speed","agility","strength","vertical","stamina","hustle","overallDurability","passAccuracy","ballHandle","speedWithBall","passIQ","passVision","offensiveRebound","defensiveRebound"
"Jalen Johnson","6'8"" (203cm)","PF",0,0,8,8,0,1,5,1,0,1,2,1,16,"Atlanta Hawks",89,94,85,81,81,85,95,88,75,96,72,78,78,85,80,66,66,53,51,60,57,50,76,76,68,82,85,80,80,84,79,74,88,82,47,89
"Kristaps Porzingis","7'2"" (218cm)","C",0,0,1,8,6,3,1,1,0,2,1,0,15,"Atlanta Hawks",84,93,94,80,84,75,80,79,85,75,81,84,81,47,85,75,56,37,87,74,60,55,66,65,74,78,80,70,77,50,68,56,40,70,65,64
"Nickeil Alexander-Walker","6'5"" (196cm)","SG",0,0,1,5,5,0,2,0,0,6,0,0,11,"Atlanta Hawks",83,87,73,82,85,90,90,88,40,60,54,58,64,73,88,52,84,65,56,82,80,80,72,87,60,70,90,75,80,75,81,72,76,56,36,47
"Dyson Daniels","6'7"" (201cm)","SG",0,0,9,5,0,0,3,0,0,7,1,1,14,"Atlanta Hawks",83,88,68,52,61,70,50,84,25,75,44,55,47,51,85,67,94,92,52,87,95,90,79,93,52,75,89,85,80,77,78,79,77,71,60,60
"C.J. McCollum","6'3"" (191cm)","PG",0,0,3,5,6,5,6,1,0,0,0,0,14,"Atlanta Hawks",82,91,89,85,80,75,90,80,30,40,38,46,32,52,91,35,70,38,42,70,50,65,82,84,60,80,98,95,80,72,86,82,79,66,35,48
"Onyeka Okongwu","6'10"" (208cm)","C",0,0,2,4,5,0,0,1,0,2,2,1,11,"Atlanta Hawks",82,92,88,79,78,80,80,86,85,85,54,55,57,75,80,79,64,43,68,83,65,65,74,74,70,75,88,95,83,51,54,60,50,57,55,78
"Zaccharie Risacher","6'10"" (208cm)","SF",0,0,0,0,8,1,4,1,0,0,0,0,8,"Atlanta Hawks",78,91,70,76,65,70,60,80,55,70,55,56,56,54,95,57,79,49,60,79,79,75,70,82,56,67,91,85,80,68,79,68,67,34,47,49
"Vit Krejci","6'8"" (203cm)","SF",0,0,0,1,3,1,3,0,0,0,0,0,4,"Atlanta Hawks",77,96,74,90,76,85,65,79,45,70,35,38,38,44,75,50,60,43,50,59,58,40,75,75,40,76,80,75,80,69,70,74,70,37,34,46
"Corey Kispert","6'6"" (198cm)","SF",0,0,1,3,1,4,0,1,0,0,0,0,5,"Atlanta Hawks",77,95,89,85,77,65,60,70,40,60,38,39,39,42,75,54,70,32,42,69,67,65,76,76,60,69,84,80,80,66,71,66,69,45,33,52
"Luke Kennard","6'5"" (196cm)","SG",0,0,2,3,0,4,0,1,0,0,0,0,5,"Atlanta Hawks",76,97,96,87,93,65,50,70,30,60,28,35,32,49,80,35,51,49,27,50,50,40,69,68,40,60,92,70,80,74,75,66,74,57,36,47
"Asa Newell","6'11"" (211cm)","PF",0,0,0,0,1,0,0,0,0,0,0,0,1,"Atlanta Hawks",75,85,67,86,75,70,60,73,80,85,60,60,60,51,75,70,66,46,63,67,69,60,75,70,67,78,85,90,80,54,69,69,55,33,66,53
"Mouhamed Gueye","6'10"" (208cm)","PF",0,0,0,2,2,0,0,0,0,0,2,1,4,"Atlanta Hawks",74,89,67,68,57,75,70,72,75,80,52,51,52,58,90,60,48,49,75,57,50,45,67,67,63,75,88,90,80,60,60,52,62,33,65,65
